plate	row	col	a450	stype	detail	dilution	ngml	flag
2	A	1	1.385	standard	200	1	61.5842829076621	
2	A	2	1.323	standard	66.6	1	56.1760314341847	
2	A	3	0.905	standard	22.2	1	21.1468164794007	
2	A	4	0.451	standard	7.4	1	5.58600451467269	
2	A	5	0.3	standard	2.5	1	2.31423076923077	
2	A	6	0.21	standard	0.82	1	0.860384615384615	
2	A	7	0.17	standard	0.27	1	0.82	LLQ
2	A	8	0.155	standard	0	1	0.82	LLQ
2	A	9	1.998	sample	v1187.3	10	2000	ULQ
2	A	10	1.919	sample	v1187.3	10	2000	ULQ
2	A	11	1.824	sample	v1187.3	100	20000	ULQ
2	A	12	1.643	sample	v1187.3	100	20000	ULQ
2	B	1	1.615	sample	2109	10	1955.15966386555	
2	B	2	1.965	sample	2109	10	2000	ULQ
2	B	3	0.738	sample	2109	100	1497.55305867665	
2	B	4	0.719	sample	2109	100	1427.34082397004	
2	B	5	0.185	sample	2122	10	8.2	LLQ
2	B	6	0.193	sample	2122	10	8.2	LLQ
2	B	7	0.184	sample	2122	100	82	LLQ
2	B	8	0.171	sample	2122	100	82	LLQ
2	B	9	0.217	sample	2158	10	9.73461538461539	
2	B	10	0.208	sample	2158	10	8.28076923076923	
2	B	11	0.148	sample	2158	100	82	LLQ
2	B	12	0.153	sample	2158	100	82	LLQ
2	C	1	0.903	sample	2182	10	210.729088639201	
2	C	2	1.019	sample	2182	10	296.581532416503	
2	C	3	0.316	sample	2182	100	259.954853273138	
2	C	4	0.314	sample	2182	100	255.530474040632	
2	C	5	0.713	sample	2231	10	140.516853932584	
2	C	6	0.722	sample	2231	10	143.842696629213	
2	C	7	0.225	sample	2231	100	110.269230769231	
2	C	8	0.234	sample	2231	100	124.807692307692	
2	C	9	0.231	sample	2263	10	11.9961538461538	
2	C	10	0.227	sample	2263	10	11.35	
2	C	11	0.159	sample	2263	100	82	LLQ
2	C	12	0.169	sample	2263	100	82	LLQ
2	D	1	1.741	sample	2363	10	2000	ULQ
2	D	2	2.094	sample	2363	10	2000	ULQ
2	D	3	0.84	sample	2363	100	1874.48189762796	
2	D	4	0.84	sample	2363	100	1874.48189762796	
2	D	5	2.089	sample	2408	10	2000	ULQ
2	D	6	2.018	sample	2408	10	2000	ULQ
2	D	7	1.435	sample	2408	100	6594.57760314342	
2	D	8	1.45	sample	2408	100	7220.50420168068	
2	D	9	0.736	sample	2413	10	149.016229712859	
2	D	10	0.73	sample	2413	10	146.799001248439	
2	D	11	0.237	sample	2413	100	129.653846153846	
2	D	12	0.235	sample	2413	100	126.423076923077	
2	E	1	1.906	sample	2572	10	2000	ULQ
2	E	2	2.099	sample	2572	10	2000	ULQ
2	E	3	1.468	sample	2572	100	8565.71428571429	
2	E	4	1.516	sample	2572	100	12152.9411764706	
2	E	5	1.008	sample	2579	10	286.986247544204	
2	E	6	1.027	sample	2579	10	303.559921414538	
2	E	7	0.298	sample	2579	100	228.192307692308	
2	E	8	0.317	sample	2579	100	262.167042889391	
2	E	9	0.149	sample	2616	10	8.2	LLQ
2	E	10	0.153	sample	2616	10	8.2	LLQ
2	E	11	0.156	sample	2616	100	82	LLQ
2	E	12	0.144	sample	2616	100	82	LLQ
2	F	1	0.163	sample	2747	10	8.2	LLQ
2	F	2	0.167	sample	2747	10	8.2	LLQ
2	F	3	0.161	sample	2747	100	82	LLQ
2	F	4	0.158	sample	2747	100	82	LLQ
2	F	5	2.011	sample	2777	10	2000	ULQ
2	F	6	1.97	sample	2777	10	2000	ULQ
2	F	7	1.189	sample	2777	100	4448.72298624754	
2	F	8	1.208	sample	2777	100	4614.45972495088	
2	F	9	0.163	sample	2798	10	8.2	LLQ
2	F	10	0.143	sample	2798	10	8.2	LLQ
2	F	11	0.132	sample	2798	100	82	LLQ
2	F	12	0.141	sample	2798	100	82	LLQ
2	G	1	1.03	sample	2869	10	306.176817288802	
2	G	2	1.175	sample	2869	10	432.660117878193	
2	G	3	0.397	sample	2869	100	439.142212189616	
2	G	4	0.377	sample	2869	100	394.89841986456	
2	G	5	1.926	sample	2881	10	2000	ULQ
2	G	6	1.831	sample	2881	10	2000	ULQ
2	G	7	1.09	sample	2881	100	3585.14734774067	
2	G	8	1.075	sample	2881	100	3454.3025540275	
2	G	9	1.764	sample	2974	10	2000	ULQ
2	G	10	1.94	sample	2974	10	2000	ULQ
2	G	11	1.38	sample	2974	100	6114.81335952849	
2	G	12	1.348	sample	2974	100	5835.67779960707	
2	H	1	0.386	sample	165.2	10	41.4808126410835	
2	H	2	0.445	sample	165.2	10	54.5327313769752	
2	H	3	0.199	sample	165.2	100	82	LLQ
2	H	4	0.197	sample	165.2	100	82	LLQ
2	H	5	1.857	standard	200	1	200	ULQ
2	H	6	1.562	standard	66.6	1	155.907002801121	
2	H	7	0.962	standard	22.2	1	24.6860510805501	
2	H	8	0.615	standard	7.4	1	10.4302122347066	
2	H	9	0.323	standard	2.5	1	2.75440180586907	
2	H	10	0.205	standard	0.82	1	0.82	LLQ
2	H	11	0.163	standard	0.27	1	0.82	LLQ
2	H	12	0.134	standard	0	1	0.82	LLQ
