sample	ngml_av	se_mean	flag
7APL	10	0	LLQ
7BPL	10	0	LLQ
7CPL	10	0	LLQ
7DPL	10	0	LLQ
7EPL	10	0	LLQ
7ABC	20.8334527544985	7.28593240224469	
7BBC	13.7416044773416	0.91940531730479	
7CBC	15.7766744492094	5.07541896043426	
7DBC	10	0	LLQ
7EBC	18.6138259639212	1.29902544716368	
7ARB	23.7775191967924	3.3998319848548	
7BRB	13.8231962483176	1.18876795689846	
7CRB	16.0779303359406	1.25498464171202	
7DRB	13.8271371409032	2.63718911768496	
7ERB	24.2550764779634	4.15087632856828	
v1205.6+C-IPC	349.89979969054	7.17639590057132	
2015CD	739.064894063364	44.5988967938196	
1965TH	580.109670675027	18.3844789267017	
2018CB	518.847458794228	49.2528887982249	
1982IF	472.341616856787	13.8831295878074	
2009CC	238.454840781509	3.8550869086654	
2009CD	751.139198200662	8.71420318046171	
2018TH	247.978599912065	14.2960266296386	
1965CC	320.173755312874	11.7547219828374	
2015IF	826.13766890472	35.9134485461067	
2009PP	1145.97053799669	13.8672611011395	
2015PP	815.606270510496	37.343466873425	
2015CC	210.941811122542	3.88107297778977	
2015CB	235.25372315626	11.5585596638101	
1965PP	658.276037679747	3.9740740794573	
1982MT	460.628222428872	0.660413161622273	
2018MT	1195.11439981543	17.0331320184711	
2015TH	1042.79304206343	57.6902902066862	
v1451.1	281.243123173275	NA	
v1452.1	338.935337826942	NA	
v1460.1	131.16135009227	1.35856661641006	
v1482.2	106.302628575906	4.32300281304681	
v1497.1	346.081379093057	NA	
