sample	ngml_av	se_mean	flag
v1205.6+C-IPC	324.541605639815	25.8441996411435	
100%A	473.666849771627	35.564148983378	
75%A	339.845416191267	12.6439056870989	
50%A	234.659193893796	8.5453571620487	
25%A	132.890699945174	2.78079529025551	
0%A	34.5021433643056	0.531137024433647	
recomb-standard-20ng/mL	20	0	ULQ
recomb-standard-10ng/mL	20	0	ULQ
recomb-standard-5ng/mL	17.4680394002286	0.194909598278479	
recomb-standard-3ng/mL	10.2356589507759	0.25687737644048	
recomb-standard-2ng/mL	6.06253050020382	0.0531461352268781	
recomb-standard-1ng/mL	2.83714665648426	0.054883105282241	
recomb-standard-0.5ng/mL	1	0	LLQ
recomb-standard-0.25ng/mL	1	0	LLQ
recomb-standard-0.125ng/mL	1	0	LLQ
recomb-standard-0ng/mL	1	0	LLQ
v1202.1+PrP5-0ng/mL	43.8378777823816	0.738282486079413	
v1202.1+PrP5-0.5ng/mL	74.2684890982474	0.213362416589142	
v1202.1+PrP5-1ng/mL	106.608540241517	1.81616438316848	
v1202.1+PrP5-2ng/mL	171.794073372427	7.46187091375394	
v1202.1+PrP5-3ng/mL	285.67938138021	5.4829983219746	
