sample	ngml_av	se_mean	flag
v1187.3-40uL-aliquot1	340.166749651282	3.55129570730145	
-edta-500	64.6544551102127	1.91616883044587	
v1187.3-10uL-aliquot1	192.073552168915	8.57651240616042	
-edta-50	60.1845108366711	0.34229509968981	
v1187.3-40uL-aliquot2	371.805455948591	2.5493958895951	
-edta-5	50.8537568202474	0.784487223346364	
v1187.3-10uL-aliquot2	192.579380625138	4.79095180013536	
-pbs-only	54.4080709179526	1.60850071873824	
v1187.3-40uL-aliquot3	387.495302207281	2.92072972057639	
-neat	136.141638856953	4.00335573541321	
v1187.3-10uL-aliquot3	161.475462992575	1.23928204195283	
WB	1	0	LLQ
v1187.3-40uL-aliquot4	382.074411216041	11.225779027008	
v1187.3-10uL-aliquot4	149.180033312699	5.31295312048796	
